orderNumber,orderId,mopeventHeaderInId,geoX,geoY,truckId,truckPlateNo,ctlCreTs
33345552,13181281,199637423,9.479555823,53.92012341,140019,HEI-GL134,08-APR-20 03.01.24.629000000 AM
33345552,13181281,199637583,9.559994579,53.87053308,140019,HEI-GL134,08-APR-20 03.06.24.803000000 AM
33345552,13181281,199639248,9.711339864,53.74663463,140019,HEI-GL134,08-APR-20 03.56.24.853000000 AM
33345570,13181299,199697555,9.916254785,53.610804,122757,HEI-GL711,08-APR-20 08.11.50.663000000 PM
33345570,13181299,199694221,9.337715456,53.91130414,122757,HEI-GL711,08-APR-20 06.40.12.427000000 PM
33345570,13181299,199697418,9.860192137,53.63252387,122757,HEI-GL711,08-APR-20 08.07.59.843000000 PM
33345570,13181299,199698621,9.70869,53.3683683,122757,HEI-GL711,08-APR-20 08.45.03.702000000 PM
33345570,13181299,199694609,9.479214442,53.93414402,122757,HEI-GL711,08-APR-20 06.50.05.970000000 PM
33345570,13181299,199697203,9.775400461,53.70033976,122757,HEI-GL711,08-APR-20 08.01.50.921000000 PM
33345570,13181299,199697823,9.9003511,53.5628079,122757,HEI-GL711,08-APR-20 08.19.47.146000000 PM
33345570,13181299,199697910,9.912755668,53.51040587,122757,HEI-GL711,08-APR-20 08.22.08.676000000 PM
33345570,13181299,199696661,9.587461622,53.84962675,122757,HEI-GL711,08-APR-20 07.46.50.841000000 PM
33345570,13181299,199696898,9.695843546,53.79336119,122757,HEI-GL711,08-APR-20 07.52.59.894000000 PM
33345570,13181299,199699056,9.652388469,53.40483349,122757,HEI-GL711,08-APR-20 08.58.32.685000000 PM
33345570,13181299,199696843,9.681107684,53.80380444,122757,HEI-GL711,08-APR-20 07.51.51.110000000 PM
33345570,13181299,199697013,9.71483482,53.74018796,122757,HEI-GL711,08-APR-20 07.56.50.641000000 PM
33345570,13181299,199697065,9.727505699,53.72874715,122757,HEI-GL711,08-APR-20 07.57.59.817000000 PM
33345570,13181299,199698548,9.710574586,53.36009059,122757,HEI-GL711,08-APR-20 08.42.59.072000000 PM
33345570,13181299,199698811,9.652419154,53.4048194,122757,HEI-GL711,08-APR-20 08.51.20.011000000 PM
33345570,13181299,199697242,9.786634381,53.68821208,122757,HEI-GL711,08-APR-20 08.02.59.913000000 PM
33345570,13181299,199697383,9.838371098,53.63998126,122757,HEI-GL711,08-APR-20 08.06.51.340000000 PM
33345570,13181299,199697587,9.9623406,53.6035832,122757,HEI-GL711,08-APR-20 08.12.59.853000000 PM
33345570,13181299,199698180,9.917848854,53.40993693,122757,HEI-GL711,08-APR-20 08.30.55.021000000 PM
33345570,13181299,199698262,9.893187,53.3809353,122757,HEI-GL711,08-APR-20 08.33.21.092000000 PM
33345570,13181299,199694902,9.559181031,53.8724383,122757,HEI-GL711,08-APR-20 06.57.30.287000000 PM
33345583,13181312,199666443,9.382891695,54.05350742,140026,H-SG338,08-APR-20 11.24.25.849000000 AM
33345583,13181312,199664984,9.4832202,53.9335929,140026,H-SG338,08-APR-20 11.04.25.980000000 AM
33345583,13181312,199668408,9.10602,54.0269196,140026,H-SG338,08-APR-20 11.54.25.919000000 AM
33345583,13181312,199668089,9.098650504,54.0338956,140026,H-SG338,08-APR-20 11.49.25.936000000 AM
33345583,13181312,199667449,9.18775197,54.03067619,140026,H-SG338,08-APR-20 11.39.25.901000000 AM
33345583,13181312,199667111,9.237239583,54.05064929,140026,H-SG338,08-APR-20 11.34.25.974000000 AM
33345583,13181312,199660074,9.675579717,53.76778161,140026,H-SG338,08-APR-20 09.51.25.897000000 AM
33345583,13181312,199664614,9.531561469,53.88979384,140026,H-SG338,08-APR-20 10.59.26.039000000 AM
33345583,13181312,199660769,9.6931728,53.8051488,140026,H-SG338,08-APR-20 10.01.26.116000000 AM
33345583,13181312,199666099,9.457861411,54.02243681,140026,H-SG338,08-APR-20 11.19.25.857000000 AM
33345583,13181312,199665726,9.491488753,53.96042995,140026,H-SG338,08-APR-20 11.14.25.894000000 AM
33345583,13181312,199661137,9.619608789,53.83513151,140026,H-SG338,08-APR-20 10.06.25.850000000 AM
33345583,13181312,199667767,9.13861348,54.03698901,140026,H-SG338,08-APR-20 11.44.26.139000000 AM
33345583,13181312,199660401,9.685563646,53.77988829,140026,H-SG338,08-APR-20 09.56.25.883000000 AM
33345583,13181312,199666778,9.299875282,54.07259896,140026,H-SG338,08-APR-20 11.29.26.220000000 AM
33345583,13181312,199671232,9.1039452,54.0869033,140026,H-SG338,08-APR-20 12.39.25.923000000 PM
33345583,13181312,199671506,9.131306701,54.04040525,140026,H-SG338,08-APR-20 12.44.25.961000000 PM
33346908,13182634,199672195,10.81152508,52.31145412,3652,H-SG870,08-APR-20 12.56.44.300000000 PM
33346908,13182634,199665523,10.1882283,52.3499479,3652,H-SG870,08-APR-20 11.11.37.207000000 AM
33346908,13182634,199663386,10.81665473,52.31315216,3652,H-SG870,08-APR-20 10.41.36.451000000 AM
33346908,13182634,199665134,10.30198622,52.33584147,3652,H-SG870,08-APR-20 11.06.36.655000000 AM
33346908,13182634,199663730,10.71770397,52.30823383,3652,H-SG870,08-APR-20 10.46.36.657000000 AM
33346908,13182634,199664779,10.4137575,52.3359649,3652,H-SG870,08-APR-20 11.01.36.414000000 AM
33346908,13182634,199665888,10.1030717,52.36426705,3652,H-SG870,08-APR-20 11.16.36.644000000 AM
33346908,13182634,199662720,10.84989553,52.39754295,3652,H-SG870,08-APR-20 10.31.36.602000000 AM
33346908,13182634,199669527,9.957070732,52.39048561,3652,H-SG870,08-APR-20 12.11.44.039000000 PM
